loss,binary_accuracy
1.9233664274215698,0.5754716992378235
0.7438027262687683,0.6933962106704712
1.0974167585372925,0.5424528121948242
0.6414485573768616,0.6933962106704712
0.5884299278259277,0.7264150977134705
0.592499315738678,0.6839622855186462
0.5490065813064575,0.7028301954269409
0.7854323387145996,0.6839622855186462
0.966525673866272,0.6132075190544128
0.5476456880569458,0.7075471878051758
0.5999755859375,0.7216981053352356
1.3268600702285767,0.551886796951294
1.6447699069976807,0.5849056839942932
1.208870530128479,0.6556603908538818
0.5011512637138367,0.801886796951294
0.7151451110839844,0.7169811129570007
0.546807587146759,0.7830188870429993
0.4236399531364441,0.7924528121948242
0.3829277455806732,0.8160377144813538
0.6232739090919495,0.7075471878051758
0.6854737401008606,0.7028301954269409
0.6528140902519226,0.7028301954269409
0.5840408205986023,0.7594339847564697
0.7541007399559021,0.7028301954269409
0.8658502697944641,0.7169811129570007
0.9390788674354553,0.6462264060974121
0.5547680854797363,0.7122641801834106
0.6136366724967957,0.7405660152435303
0.8879374265670776,0.6462264060974121
0.7856447696685791,0.6698113083839417
0.6161249279975891,0.6933962106704712
0.7058321833610535,0.6745283007621765
0.6364253163337708,0.7311320900917053
0.5062660574913025,0.7877358198165894
0.5777158737182617,0.7688679099082947
0.45793241262435913,0.7924528121948242
0.35164111852645874,0.8537735939025879
0.5043171048164368,0.7688679099082947
0.7184292078018188,0.7075471878051758
0.7162984013557434,0.7169811129570007
0.49155545234680176,0.7735849022865295
0.3446466028690338,0.8349056839942932
0.3724936246871948,0.8443396091461182
0.5334137678146362,0.7452830076217651
0.5924031138420105,0.7783018946647644
0.3930460810661316,0.8207547068595886
0.4388253092765808,0.8301886916160583
0.3293895721435547,0.8632075190544128
0.34628233313560486,0.8254716992378235
0.7538005113601685,0.6933962106704712
